No,A,B,C,D,E
0000040701,6,6,6,6,6
0000040702,2,2,2,2,2
0000040703,2,2,2,2,2
0000040704,8,8,8,8,8
0000040705,5,5,5,5,5
0000040706,3,2,3,3,"3,8"
0000040707,8,8,8,8,8
0000040708,5,5,5,5,5
0000040709,5,5,8,5,5
0000040710,2,2,2,2,2
0000040711,2,2,2,2,2
0000040712,,,4,,
0000040713,,,,"3,7",
0000040714,,7,,7,
0000040715,,,7,3,
0000040716,7,3,,,
0000040717,,,,,
0000040718,,,,7,
0000040719,,1,,,
0000040720,7,7,7,6,
0000040721,,1,,,
0000040722,,,,,
0000040723,5,,7,7,
0000040724,2,,7,,
0000040725,7,3,7,7,
0000040726,7,,7,7,
0000040727,,3,,7,
0000040728,,,3,,
0000040729,3,5,3,7,
0000041001,7,7,7,7,7
0000041002,2,2,2,2,2
0000041003,8,8,8,8,8
0000041004,6,6,6,6,6
0000041005,2,2,2,2,8
0000041006,2,2,"2,6",2,"2,8"
0000041007,6,6,6,6,6
0000041008,,8,"2,5",2,4
0000041009,1,8,8,8,8
0000041010,5,5,5,"5,7",5
0000041011,7,7,7,7,7
0000041012,5,5,"1,5",5,5
0000041013,2,7,"7,8",7,7
0000041014,2,2,2,2,2
0000050601,5,5,5,5,5
0000050602,"6,7","6,7","6,7","6,7","6,7"
0000050603,"3,8","3,8","3,8","3,8","3,8"
0000050604,2,2,2,2,2
0000050605,2,2,2,2,2
0000050606,"5,8","2,8","2,8",8,2
0000050607,"3,8","3,8","3,8","3,8","3,8"
0000050608,5,5,5,2,5
0000050609,5,5,5,5,5
0000050610,"2,8","2,8","2,8","2,8","2,8"
0000050611,"2,8","2,8","2,8","2,8","2,8"
0000050612,2,,4,,
0000050613,,"6,7",3,3,
0000050614,1,3,7,7,
0000050615,4,4,2,2,
0000050616,2,,7,,
0000050617,3,7,,5,
0000050618,,,4,7,
0000050619,,"3,4",4,5,
0000050620,,7,,,
0000050621,3,7,7,,
0000050622,,7,4,7,
0000050623,2,7,3,7,
0000050624,2,2,7,7,
0000050625,4,7,"2,6",7,
0000050626,,3,7,7,
0000050627,4,7,7,6,
0000050628,,"6,7",4,7,
0000050629,,5,,7,
0000051001,4,4,4,4,4
0000051002,2,2,2,"2,5",2
0000051003,2,2,2,2,2
0000051004,"7,8","7,8","7,8","7,8","7,8"
0000051005,2,2,2,2,2
0000051006,"1,7","1,7","1,7","1,7","1,7"
0000051007,1,8,8,2,8
0000051008,"1,3",3,7,"1,3","1,3"
0000051009,"2,5",2,2,2,2
0000051010,2,4,2,2,4
0000051011,8,8,8,8,8
0000051012,5,5,"4,5",5,5
0000051013,6,6,6,"4,6,8",6
0000051014,8,6,8,1,"6,8"
0000070401,8,8,8,8,8
0000070402,"1,2","1,2","1,2","1,2","1,2"
0000070403,6,6,6,"2,6",6
0000070404,5,2,3,2,"2,8"
0000070405,1,"5,8","5,8","5,8",1
0000070406,8,8,8,7,7
0000070407,5,"1,5",1,2,2
0000070408,6,2,2,6,2
0000070409,2,2,2,2,2
0000070410,6,6,6,6,6
0000070411,6,6,6,6,6
0000070412,1,1,7,,
0000070413,,4,7,5,
0000070414,1,7,1,3,
0000070415,3,1,5,6,
0000070416,"3,4",5,7,7,
0000070417,5,5,4,,
0000070418,7,7,1,7,
0000070419,3,1,,,
0000070420,4,5,5,7,
0000070421,7,7,4,,
0000070422,,7,,7,
0000070423,,1,,7,
0000070424,3,,,4,
0000070425,7,1,,4,
0000070426,7,7,7,7,
0000070427,7,3,7,,
0000070428,7,,3,6,
0000070429,1,,5,,
0000071001,5,5,5,5,5
0000071002,2,2,2,2,2
0000071003,1,1,"1,8","1,2,8","2,8"
0000071004,5,5,5,5,5
0000071005,"1,2",1,"1,2,8","1,2,8","1,2,3,8"
0000071006,,8,8,2,2
0000071007,2,2,2,2,2
0000071008,2,2,2,2,2
0000071009,2,2,8,2,2
0000071010,8,8,8,8,8
0000071011,"6,8","6,8","6,8","6,8","6,8"
0000071012,"6,8","6,8","6,8",2,"6,8"
0000071013,6,"5,8",6,"6,8",8
0000071014,"1,2,5","1,2,6","1,2,7","1,2,8","1,2,9"
0000090301,5,5,5,5,5
0000090302,"7,8",8,7,7,"7,8"
0000090303,"2,7","2,7","2,7","2,7","2,7"
0000090304,8,3,8,3,"3,8"
0000090305,6,6,6,6,6
0000090306,6,6,6,6,6
0000090307,6,6,6,6,6
0000090308,6,6,6,6,6
0000090309,2,2,,,